UserID,Age,Gender,Country,State/Territory,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?"
1,37,Female,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
2,44,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
3,32,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
4,31,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
5,31,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
6,33,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
7,35,Female,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
8,39,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
9,42,Female,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
10,23,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
11,31,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
12,29,Male,Bulgaria,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
13,42,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
14,36,Male,United States,Connecticut,Did Not Answer,Did Not Answer,Did Not Answer
15,27,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
16,29,Female,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
17,23,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
18,32,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
19,46,Male,United States,Maryland,Did Not Answer,Did Not Answer,Did Not Answer
20,36,Male,France,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
21,29,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
22,31,Male,United States,North Carolina,Did Not Answer,Did Not Answer,Did Not Answer
23,46,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
24,41,Male,United States,Iowa,Did Not Answer,Did Not Answer,Did Not Answer
25,33,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
26,35,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
27,33,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
28,35,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
29,34,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
30,37,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
31,32,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
32,31,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
33,30,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
34,42,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
35,40,Female,United States,Wisconsin,Did Not Answer,Did Not Answer,Did Not Answer
36,27,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
37,29,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
38,38,Male,Portugal,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
39,50,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
40,35,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
41,24,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
42,35,Male,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
43,27,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
44,18,Male,Netherlands,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
45,30,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
46,38,Female,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
47,28,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
48,34,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
49,26,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
50,30,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
51,22,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
52,33,Male,United States,Utah,Did Not Answer,Did Not Answer,Did Not Answer
53,31,Male,United States,Not Provided,Did Not Answer,Did Not Answer,Did Not Answer
54,32,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
55,28,Male,Switzerland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
56,27,Other,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
57,32,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
58,24,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
59,26,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
60,33,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
61,44,Male,United States,Iowa,Did Not Answer,Did Not Answer,Did Not Answer
62,26,Female,Poland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
63,27,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
64,26,Male,France,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
65,35,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
66,40,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
67,23,Female,Australia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
68,36,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
69,31,Female,United States,New Mexico,Did Not Answer,Did Not Answer,Did Not Answer
70,34,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
71,28,Male,France,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
72,34,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
73,23,Other,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
74,38,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
75,33,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
76,19,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
77,25,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
78,31,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
79,32,Male,United States,Utah,Did Not Answer,Did Not Answer,Did Not Answer
80,28,Male,Germany,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
81,38,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
82,23,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
83,30,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
84,27,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
85,33,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
86,31,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
87,39,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
88,34,Female,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
89,29,Female,United States,Florida,Did Not Answer,Did Not Answer,Did Not Answer
90,32,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
91,31,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
92,40,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
93,34,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
94,18,Other,Russia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
95,25,Female,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
96,29,Male,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
97,24,Male,United States,Missouri,Did Not Answer,Did Not Answer,Did Not Answer
98,31,Male,Mexico,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
99,33,Male,United States,Arizona,Did Not Answer,Did Not Answer,Did Not Answer
100,30,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
101,26,Female,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
102,44,Female,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
103,25,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
104,33,Male,United States,Wisconsin,Did Not Answer,Did Not Answer,Did Not Answer
105,29,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
106,35,Male,United States,Missouri,Did Not Answer,Did Not Answer,Did Not Answer
107,35,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
108,28,Male,Brazil,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
109,34,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
110,32,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
111,22,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
112,28,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
113,45,Male,United States,Missouri,Did Not Answer,Did Not Answer,Did Not Answer
114,32,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
115,28,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
116,26,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
117,21,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
118,27,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
119,18,Male,United States,Connecticut,Did Not Answer,Did Not Answer,Did Not Answer
120,35,Male,United States,Colorado,Did Not Answer,Did Not Answer,Did Not Answer
121,29,Male,United States,Georgia,Did Not Answer,Did Not Answer,Did Not Answer
122,25,Male,United States,DC,Did Not Answer,Did Not Answer,Did Not Answer
123,33,Male,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
124,36,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
125,27,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
126,27,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
127,27,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
128,32,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
129,31,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
130,19,Male,Slovenia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
131,33,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
132,32,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
133,27,Male,United States,Nebraska,Did Not Answer,Did Not Answer,Did Not Answer
134,38,Male,Costa Rica,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
135,24,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
136,39,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
137,28,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
138,39,Male,United States,Iowa,Did Not Answer,Did Not Answer,Did Not Answer
139,29,Female,United States,Maryland,Did Not Answer,Did Not Answer,Did Not Answer
140,22,Male,Austria,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
141,38,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
142,37,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
143,35,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
144,-29,Male,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
145,30,Female,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
146,37,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
147,24,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
148,23,Male,United States,West Virginia,Did Not Answer,Did Not Answer,Did Not Answer
149,30,Male,Ireland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
150,29,Female,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
151,19,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
152,32,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
153,28,Male,Poland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
154,36,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
155,37,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
156,25,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
157,27,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
158,26,Male,United States,Oklahoma,Did Not Answer,Did Not Answer,Did Not Answer
159,27,Male,United States,Utah,Did Not Answer,Did Not Answer,Did Not Answer
160,25,Male,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
161,36,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
162,25,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
163,31,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
164,26,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
165,33,Female,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
166,27,Female,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
167,34,Male,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
168,42,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
169,23,Male,Ireland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
170,24,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
171,26,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
172,31,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
173,22,Male,India,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
174,23,Female,United States,North Carolina,Did Not Answer,Did Not Answer,Did Not Answer
175,34,Female,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
176,31,Male,United States,Missouri,Did Not Answer,Did Not Answer,Did Not Answer
177,28,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
178,32,Female,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
179,45,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
180,33,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
181,29,Male,Mexico,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
182,26,Female,India,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
183,28,Female,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
184,45,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
185,43,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
186,37,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
187,24,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
188,26,Male,France,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
189,23,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
190,35,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
191,38,Female,South Africa,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
192,28,Male,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
193,28,Male,Russia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
194,35,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
195,32,Female,Germany,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
196,31,Male,Italy,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
197,35,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
198,26,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
199,27,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
200,28,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
201,27,Female,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
202,34,Female,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
203,41,Male,United States,Florida,Did Not Answer,Did Not Answer,Did Not Answer
204,37,Male,Ireland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
205,34,Male,Austria,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
206,32,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
207,21,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
208,30,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
209,24,Male,United States,Kansas,Did Not Answer,Did Not Answer,Did Not Answer
210,26,Male,Bulgaria,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
211,40,Female,United States,DC,Did Not Answer,Did Not Answer,Did Not Answer
212,37,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
213,26,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
214,32,Female,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
215,32,Female,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
216,27,Female,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
217,30,Male,Germany,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
218,31,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
219,29,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
220,41,Male,United States,Virginia,Did Not Answer,Did Not Answer,Did Not Answer
221,34,Female,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
222,33,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
223,28,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
224,28,Male,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
225,23,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
226,24,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
227,32,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
228,34,Male,Australia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
229,24,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
230,26,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
231,36,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
232,41,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
233,38,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
234,38,Male,United States,New Hampshire,Did Not Answer,Did Not Answer,Did Not Answer
235,30,Male,Netherlands,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
236,25,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
237,37,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
238,34,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
239,37,Female,United States,North Carolina,Did Not Answer,Did Not Answer,Did Not Answer
240,28,Female,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
241,22,Male,Sweden,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
242,34,Male,United States,Florida,Did Not Answer,Did Not Answer,Did Not Answer
243,33,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
244,25,Male,South Africa,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
245,27,Male,United States,Georgia,Did Not Answer,Did Not Answer,Did Not Answer
246,40,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
247,21,Male,United States,Kentucky,Did Not Answer,Did Not Answer,Did Not Answer
248,29,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
249,32,Male,United States,North Carolina,Did Not Answer,Did Not Answer,Did Not Answer
250,29,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
251,23,Male,United States,Alabama,Did Not Answer,Did Not Answer,Did Not Answer
252,28,Male,United States,Georgia,Did Not Answer,Did Not Answer,Did Not Answer
253,31,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
254,27,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
255,24,Male,United States,Virginia,Did Not Answer,Did Not Answer,Did Not Answer
256,29,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
257,23,Female,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
258,42,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
259,24,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
260,25,Male,Australia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
261,27,Female,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
262,27,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
263,30,Male,United States,Florida,Did Not Answer,Did Not Answer,Did Not Answer
264,29,Male,Poland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
265,43,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
266,32,Male,United States,Nevada,Did Not Answer,Did Not Answer,Did Not Answer
267,41,Male,United States,Alabama,Did Not Answer,Did Not Answer,Did Not Answer
268,32,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
269,37,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
270,32,Male,United States,Colorado,Did Not Answer,Did Not Answer,Did Not Answer
271,30,Male,Ireland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
272,23,Female,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
273,30,Male,United States,New Jersey,Did Not Answer,Did Not Answer,Did Not Answer
