,questiontext,questionid
0,What is your age?,1
1,What is your gender?,2
2,What country do you live in?,3
3,"If you live in the United States, which state or territory do you live in?",4
4,Are you self-employed?,5
5,Do you have a family history of mental illness?,6
6,Have you ever sought treatment for a mental health disorder from a mental health professional?,7
7,How many employees does your company or organization have?,8
8,Is your employer primarily a tech company/organization?,9
9,Does your employer provide mental health benefits as part of healthcare coverage?,10
10,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,11
11,Would you bring up a mental health issue with a potential employer in an interview?,12
12,Is your primary role within your company related to tech/IT?,13
13,Do you know the options for mental health care available under your employer-provided health coverage?,14
14,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",15
15,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,16
16,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",17
17,Would you feel comfortable discussing a mental health issue with your coworkers?,18
18,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,19
19,Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,20
20,Do you know local or online resources to seek help for a mental health issue?,21
21,Do you have previous employers?,22
22,Have your previous employers provided mental health benefits?,23
23,Were you aware of the options for mental health care provided by your previous employers?,24
24,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,25
25,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,26
26,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,27
27,Would you have been willing to discuss your mental health with your direct supervisor(s)?,28
28,Would you be willing to bring up a physical health issue with a potential employer in an interview?,29
29,How willing would you be to share with friends and family that you have a mental illness?,30
30,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,31
31,Have you had a mental health disorder in the past?,32
32,Do you currently have a mental health disorder?,33
33,Have you ever been diagnosed with a mental health disorder?,34
34,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",48
35,"If you have a mental health disorder, how often do you feel that it interferes with your work when not being treated effectively (i.e., when you are experiencing symptoms)?",49
36,What country do you work in?,50
37,What US state or territory do you work in?,51
38,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?",52
39,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",53
40,Do you believe your productivity is ever affected by a mental health issue?,54
41,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",55
42,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,56
43,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,57
44,Have you ever discussed your mental health with your employer?,58
